company_name,isin_code
Kino Polska TV Spółka Akcyjna,PLKNOPL00014
XTRADEBDM,PLXTRDM00011
RELPOL SA,PLRELPL00014
BANK HANDLOWY W WARSZAWIE SA,PLBH00000012
BENEFIT SYSTEMS SPÓŁKA AKCYJNA,PLBNFTS00018
TOYA SPÓŁKA AKCYJNA,PLTOYA000011
GLOBE TRADE CENTRE S.A.,PLGTC0000037
PCC ROKITA SPÓŁKA AKCYJNA,PLPCCRK00076
PROCAD SPÓŁKA AKCYJNA,removed
ORBIS SA,PLORBIS00014
WOJAS SPÓŁKA AKCYJNA,PLWOJAS00014
ABS INVESTMENT SPÓŁKA AKCYJNA,PLABSIN00012
GRUPA ŻYWIEC SA,PLZYWIC00016
BESKIDZKIE BIURO CONSULTINGOWE SPÓŁKA AKCYJNA,PLBBCLS00017
BIOMAXIMA SPÓŁKA AKCYJNA,PLBIOMX00015
AFORTI HOLDING SPÓŁKA AKCYJNA,PLMNTHL00016
MAXIMUS Spółka Akcyjna,PLMAXMS00010
E-MUZYKA SPÓŁKA AKCYJNA,PLEMZKA00019
AC SPÓŁKA AKCYJNA,PLACSA000014
MOBILE FACTORY SPÓŁKA AKCYJNA,removed
STOPKLATKA SPÓŁKA AKCYJNA,PLSTPKL00012
FORTUNA ENTERTAINMENT GROUP N.V.,removed
FABRYKA FARB I LAKIERÓW ŚNIEŻKA SA,PLSNZKA00033
TROPHYRES,removed
PRODUKTY KLASZTORNE SPÓŁKA AKCYJNA,removed
DOM MAKLERSKI IDM SA,PLIDMSA00044
LUG SPÓŁKA AKCYJNA,PLLUG0000010
IDEABANK-PDA ,PLIDEAB00013
FERRO SPÓŁKA AKCYJNA,PLFERRO00016
CSY SPÓŁKA AKCYJNA,removed
RSY SPÓŁKA AKCYJNA,PLRSYSA00014
ALTUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH S.A.,PLATTFI00018
MACROLOGIC SA,PLMCSFT00018
QUERCUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SPÓŁKA AKCYJNA,PLQRCUS00012
CORELENS,removed
MADKOM SPÓŁKA AKCYJNA,PLMADKM00019
ATC CARGO SPÓŁKA AKCYJNA,PLATCRG00013
AGROTOUR SPÓŁKA AKCYJNA,PLAGRTR00011
HOTBLOK SPÓŁKA AKCYJNA,PLHOTB000011
EUROSYSTEM SPÓŁKA AKCYJNA,PLEURSS00014
